x,y,v
521037,2084012,308
521837,2084012,352
522637,2084012,320
523437,2084012,315
524262,2084012,318
525062,2084012,320
525862,2084012,300
526662,2084012,335
527462,2084012,330
528287,2084012,357
529087,2084012,353
529887,2084012,319
530687,2084012,353
504112,2083187,289
504912,2083187,295
505737,2083187,263
506537,2083187,281
507337,2083187,304
508137,2083187,331
508937,2083187,325
509762,2083187,285
510562,2083187,295
511362,2083187,319
512162,2083187,346
512987,2083187,323
513787,2083187,336
514587,2083187,309
515387,2083187,260
516187,2083187,322
517012,2083187,363
517812,2083187,317
518612,2083187,309
519412,2083187,268
520212,2083187,286
521037,2083187,293
521837,2083187,355
522637,2083187,283
523437,2083187,284
524262,2083187,301
525062,2083187,306
525862,2083187,323
526662,2083187,298
527462,2083187,352
528287,2083187,331
529087,2083187,301
529887,2083187,339
530687,2083187,353
504112,2082362,320
504912,2082362,288
505737,2082362,272
506537,2082362,298
507337,2082362,304
508137,2082362,328
508937,2082362,319
509762,2082362,306
510562,2082362,301
511362,2082362,295
512162,2082362,352
512987,2082362,347
513787,2082362,357
514587,2082362,330
515387,2082362,298
516187,2082362,382
517012,2082362,338
517812,2082362,319
518612,2082362,348
519412,2082362,323
520212,2082362,236
521037,2082362,310
521837,2082362,304
522637,2082362,253
523437,2082362,261
524262,2082362,283
525062,2082362,270
525862,2082362,303
526662,2082362,307
527462,2082362,316
528287,2082362,316
529087,2082362,342
529887,2082362,367
530687,2082362,387
504112,2081537,327
504912,2081537,307
505737,2081537,270
506537,2081537,304
507337,2081537,310
508137,2081537,307
508937,2081537,327
509762,2081537,300
510562,2081537,312
511362,2081537,318
512162,2081537,337
512987,2081537,356
513787,2081537,357
514587,2081537,384
515387,2081537,367
516187,2081537,398
517012,2081537,372
517812,2081537,338
518612,2081537,305
519412,2081537,287
520212,2081537,296
521037,2081537,230
521837,2081537,243
522637,2081537,277
523437,2081537,290
524262,2081537,295
525062,2081537,264
525862,2081537,281
526662,2081537,310
527462,2081537,316
528287,2081537,319
529087,2081537,346
529887,2081537,362
530687,2081537,376
504112,2080712,309
504912,2080712,288
505737,2080712,271
506537,2080712,265
507337,2080712,277
508137,2080712,309
508937,2080712,340
509762,2080712,314
510562,2080712,323
511362,2080712,333
512162,2080712,329
512987,2080712,354
513787,2080712,384
514587,2080712,401
515387,2080712,411
516187,2080712,414
517012,2080712,387
517812,2080712,352
518612,2080712,353
519412,2080712,332
520212,2080712,248
521037,2080712,263
521837,2080712,280
522637,2080712,299
523437,2080712,297
524262,2080712,328
525062,2080712,341
525862,2080712,331
526662,2080712,339
527462,2080712,348
528287,2080712,336
529087,2080712,301
529887,2080712,318
530687,2080712,340
504112,2079887,327
504912,2079887,322
505737,2079887,291
506537,2079887,283
507337,2079887,303
508137,2079887,292
508937,2079887,346
509762,2079887,343
510562,2079887,348
511362,2079887,344
512162,2079887,327
512987,2079887,358
513787,2079887,378
514587,2079887,387
515387,2079887,400
516187,2079887,379
517012,2079887,375
517812,2079887,340
518612,2079887,344
519412,2079887,279
520212,2079887,250
521037,2079887,297
521837,2079887,279
522637,2079887,288
523437,2079887,321
524262,2079887,337
525062,2079887,351
525862,2079887,366
526662,2079887,342
527462,2079887,342
528287,2079887,366
529087,2079887,351
529887,2079887,350
530687,2079887,350
